packet_id,selected_for_repair_budget,annotation_origin,pre_repair_failure_type,elaborated,admit_count,axiom_count,proof_mode,imported_modules,outcome_summary
hp_graph_dijkstra_004__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_004__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_004__naive_concat_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_004__text_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_005__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_005__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_005__naive_concat_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_005__text_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_006__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_006__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_006__naive_concat_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
