run_id,system_id,provider_name,provider_model,total_input_tokens,total_output_tokens,wall_clock_seconds,estimated_or_billed_cost_usd,cost_status,cost_reason_code,runner_hostname,runner_os,runner_arch,lean_check_time_seconds,manifest_path
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_503,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_503/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_504,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_504/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_505,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_505/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_506,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_506/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_507,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_507/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_508,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_508/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_509,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_509/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_510,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_510/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_511,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_511/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_512,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_512/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_690,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_690/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_691,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_691/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_692,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_692/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_693,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_693/run_manifest.json
